race_id,track,race_number,distance,surface,date_time,race_description,available_bets
128,PEN,R1,8.3f,D,05-27-2016<br>15:00,PEN R1 8.3f D 05-27-2016<br>15:00 Pacific ,PEN R1 8.3f D 05-27-2016<br>15:00 Pacific 
129,PEN,R2,5f,D,05-27-2016<br>15:27,PEN R2 5f D 05-27-2016<br>15:27 Pacific ,PEN R2 5f D 05-27-2016<br>15:27 Pacific 
130,PEN,R3,6f,D,05-27-2016<br>15:54,PEN R3 6f D 05-27-2016<br>15:54 Pacific ,PEN R3 6f D 05-27-2016<br>15:54 Pacific 
131,PEN,R4,8.5f,D,05-27-2016<br>16:22,PEN R4 8.5f D 05-27-2016<br>16:22 Pacific ,PEN R4 8.5f D 05-27-2016<br>16:22 Pacific 
132,PEN,R5,8f,D,05-27-2016<br>16:49,PEN R5 8f D 05-27-2016<br>16:49 Pacific ,PEN R5 8f D 05-27-2016<br>16:49 Pacific 
133,PEN,R6,6f,D,05-27-2016<br>17:16,PEN R6 6f D 05-27-2016<br>17:16 Pacific ,PEN R6 6f D 05-27-2016<br>17:16 Pacific 
134,PEN,R7,5f,D,05-27-2016<br>17:43,PEN R7 5f D 05-27-2016<br>17:43 Pacific ,PEN R7 5f D 05-27-2016<br>17:43 Pacific 
135,PEN,R8,6f,D,05-27-2016<br>18:10,PEN R8 6f D 05-27-2016<br>18:10 Pacific ,PEN R8 6f D 05-27-2016<br>18:10 Pacific 
136,PIM,R1,4.5f,D,05-27-2016<br>10:10,PIM R1 4.5f D 05-27-2016<br>10:10 Pacific ,PIM R1 4.5f D 05-27-2016<br>10:10 Pacific 
137,PIM,R2,8.5f,T,05-27-2016<br>10:38,PIM R2 8.5f T 05-27-2016<br>10:38 Pacific ,PIM R2 8.5f T 05-27-2016<br>10:38 Pacific 
138,PIM,R3,8.5f,D,05-27-2016<br>11:06,PIM R3 8.5f D 05-27-2016<br>11:06 Pacific ,PIM R3 8.5f D 05-27-2016<br>11:06 Pacific 
139,PIM,R4,8.5f,T,05-27-2016<br>11:34,PIM R4 8.5f T 05-27-2016<br>11:34 Pacific ,PIM R4 8.5f T 05-27-2016<br>11:34 Pacific 
140,PIM,R5,6f,D,05-27-2016<br>12:02,PIM R5 6f D 05-27-2016<br>12:02 Pacific ,PIM R5 6f D 05-27-2016<br>12:02 Pacific 
141,PIM,R6,5f,T,05-27-2016<br>12:30,PIM R6 5f T 05-27-2016<br>12:30 Pacific ,PIM R6 5f T 05-27-2016<br>12:30 Pacific 
142,PIM,R7,8.5f,D,05-27-2016<br>12:58,PIM R7 8.5f D 05-27-2016<br>12:58 Pacific ,PIM R7 8.5f D 05-27-2016<br>12:58 Pacific 
143,PIM,R8,5f,T,05-27-2016<br>13:26,PIM R8 5f T 05-27-2016<br>13:26 Pacific ,PIM R8 5f T 05-27-2016<br>13:26 Pacific 
144,PIM,R9,8.5f,T,05-27-2016<br>13:55,PIM R9 8.5f T 05-27-2016<br>13:55 Pacific ,PIM R9 8.5f T 05-27-2016<br>13:55 Pacific 
145,PRM,R1,5f,D,05-27-2016<br>15:30,PRM R1 5f D 05-27-2016<br>15:30 Pacific ,PRM R1 5f D 05-27-2016<br>15:30 Pacific 
146,PRM,R2,5f,D,05-27-2016<br>15:58,PRM R2 5f D 05-27-2016<br>15:58 Pacific ,PRM R2 5f D 05-27-2016<br>15:58 Pacific 
147,PRM,R3,4.5f,D,05-27-2016<br>16:25,PRM R3 4.5f D 05-27-2016<br>16:25 Pacific ,PRM R3 4.5f D 05-27-2016<br>16:25 Pacific 
148,PRM,R4,5.5f,D,05-27-2016<br>16:52,PRM R4 5.5f D 05-27-2016<br>16:52 Pacific ,PRM R4 5.5f D 05-27-2016<br>16:52 Pacific 
149,PRM,R5,5f,D,05-27-2016<br>17:19,PRM R5 5f D 05-27-2016<br>17:19 Pacific ,PRM R5 5f D 05-27-2016<br>17:19 Pacific 
150,PRM,R6,5f,D,05-27-2016<br>17:47,PRM R6 5f D 05-27-2016<br>17:47 Pacific ,PRM R6 5f D 05-27-2016<br>17:47 Pacific 
151,PRM,R7,8.3f,D,05-27-2016<br>18:14,PRM R7 8.3f D 05-27-2016<br>18:14 Pacific ,PRM R7 8.3f D 05-27-2016<br>18:14 Pacific 
152,PRM,R8,8.5f,D,05-27-2016<br>18:42,PRM R8 8.5f D 05-27-2016<br>18:42 Pacific ,PRM R8 8.5f D 05-27-2016<br>18:42 Pacific 
153,PRM,R9,8f,D,05-27-2016<br>19:09,PRM R9 8f D 05-27-2016<br>19:09 Pacific ,PRM R9 8f D 05-27-2016<br>19:09 Pacific 
154,SAX,R1,4.5f,D,05-27-2016<br>14:00,SAX R1 4.5f D 05-27-2016<br>14:00 Pacific ,SAX R1 4.5f D 05-27-2016<br>14:00 Pacific 
