race_id,track,race_number,distance,surface,date_time,race_description,available_bets
521,EMD,R7,6.5f,D,05-29-2016<br>16:46,FOR THREE YEAR OLDS WHICH HAVE NEVER WON A RACE OTHER THAN MAIDEN; CLAIMING; OR ,$1 DAILY DOUBLE / $1 EXACTA / $.50 TRIFECTA $.10 SUPERFECTA / $.50 PICK 3 (RACES 7-8-9)
522,EMD,R8,8f,D,05-29-2016<br>17:14,FOR THREE-YEAR-OLD FILLIES. By subscription of $100 each; which shall accompany ,$1 DAILY DOUBLE / $1 EXACTA / $.50 TRIFECTA $.10 SUPERFECTA
523,EMD,R9,5.5f,D,05-29-2016<br>17:45,FOR MAIDENS; FILLIES AND MARES THREE YEARS OLD  AND UPWARD. Three Year Olds; 119,$1 EXACTA / $.50 TRIFECTA / $.10 SUPERFECTA
524,GGX,R1,8f,D,05-29-2016<br>13:45,FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD WHICH HAVE NEVER WON TWO RACES,$1 EXACTA / $1 TRIFECTA / $2 ROLLING DOUBLE $1 PICK 3 (RACES 1-2-3) / $0.50 PICK 5 (RACES 1-2-3-4-5)
525,GGX,R2,5.5f,D,05-29-2016<br>14:15,FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD. Three Year Olds; 118 lbs.; Ol,$1 EXACTA / $1 TRIFECTA / $2 ROLLING DOUBLE $1 PICK 3 (RACES 2-3-4) / $0.50 PICK 4 (RACES 2-3-4-5)
526,GGX,R3,8f,D,05-29-2016<br>14:44,FOR MAIDENS; FILLIES AND MARES THREE YEARS OLD  AND UPWARD. Three Year Olds; 118,$1 EXACTA / $1 TRIFECTA / $2 ROLLING DOUBLE $1 SUPERFECTA (.10 MIN) / $1 PICK 3 (RACES 3-4-5)
527,GGX,R4,6f,D,05-29-2016<br>15:14,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON THREE RACES. Three Year Olds,$1 EXACTA / $1 TRIFECTA $2 ROLLING DOUBLE / $1 SUPERFECTA (.10 MIN) $1 PICK 3 (RACES 4-5-6) / $0.20 GOLDEN PICK 6 (RACES 4-9)
528,GGX,R5,8f,T,05-29-2016<br>15:44,FOR THREE YEAR OLDS WHICH HAVE STARTED FOR A CLAIMING PRICE OF $40;000 OR LESS A,$1 EXACTA / $1 TRIFECTA / $2 ROLLING DOUBLE $1 SUPERFECTA (.10 MIN) / $1 PICK 3 (RACES 5-6-7)
529,GGX,R6,5.5f,D,05-29-2016<br>16:14,FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD WHICH HAVE NEVER WON TWO RACES,$1 EXACTA / $1 TRIFECTA $2 ROLLING DOUBLE / $1 SUPERFECTA (.10 MIN) $1 PICK 3 (RACES 6-7-8) / $0.50 PICK 4 (RACES 6-7-8-9)
530,GGX,R7,9f,T,05-29-2016<br>16:44,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON $10;000 TWICE OTHER THAN MAI,$1 EXACTA / $1 TRIFECTA /$2 ROLLING DOUBLE $1 SUPERFECTA (.10 MIN) / $1 PICK 3 (RACES 7-8-9)
